name,rating,price,restaurant_type,address,combined_desc_reviews_type
L'Aubergeade,4.8,40.0,Restaurant,"17 Rue Chaligny, 75012 Paris 12",typical cozy bistro focusing traditional french dish like steak tartare plus seafood faultless laubergeade went family dinner could dream better beyond kitchen absolutely exquisite experience right warm superb small warm restaurant price much thanreasonable view quality quantity product feasted lentre dessert service smiling friendly pleasant native excellent discovery resto pay mine lexterior delicious cuisine ultra warm service beautifulexperience restaurant offer quality cuisine simple mastered everything thought pleasant moment tasty well executed dish attentive service setting pleasant evening local restaurantstaff simply adorable also offered u drink since delayed preparation table full Restaurant
La Cantine de daumesnil - restaurant paris 12,4.3,30.0,Restaurant,"119 Rue de Reuilly, 75012 Paris 12",advise lover west indian dish card well varied team nice decoration atmosphere 7080 recommend parisian bistro completely atypical original decoration mix humor stripping souvenir harvested drawer 7080s pepitrops funny amcoming restaurant four people great time burger well prepared generous qualityprix quality relationship quite correct 20 per person reasonable nesting pleasant nice unusual decoration little care jaiadored little plate tapa friend took burger quite generous go back soon possible walk along green casting already 1 p.m. looking way open restaurant lunch sunday holiday Restaurant
Le Picotin,4.5,40.0,French restaurant,"35 Rue Sibuet, 75012 Paris 12","classic fare plated homey relaxed setting charming wall mural weekly live jazz restaurant hidden alley calmelles server friendly listening little stressed, however, suppose respond quickly everyone want good service address reservation bienservice perfect good refreshing original kitchen seasonal productswe feel everything done site great service top authentic parisian bistro dish made fresh quality product card change regularly nlambiance warm feel completely seduced menu quality ofproducts kitchen especially staff portion generous correct price French restaurant"
L'Alchimiste,4.7,30.0,French restaurant,"181 Rue de Charenton, 75012 Paris 12",pleasant framework top generous meal restaurant look like much lexterior card make want discover dish difficult choose quality rendezvous reasonable price intimate place generous delicious kitchen winning comboan increasingly rare kind restaurant sy feel almost home little attention impeccable server recommend flat dessert menu evening unbeatable value money everything great kitchen service really good timeserver manager really pleasant welcome plenty hearty dish good cuisine good good tasty original hearty plan medium -sided dessert review doubt cleanliness room excellent restaurant animated friendly servernla kitchen taste part 7 -hour bourguignon lens foie gras black pudding table companion accompanied French restaurant
Ty Louis - Restaurant Breton Paris 12,4.8,40.0,Restaurant,"240 Rue du Faubourg Saint-Antoine, 75012 Paris 12",breton pancake even à la carte pancake midi formula flat flat starter dessert 20 three dish 25 small restaurant nice welcome came yesterdayevening share good meal quality product real homemade like correct price sense addition excellent welcome manager passionate breton restaurant single cake menu forbetter highlight breton product great discovery know homecoming parisian breton even buy product little grocery store pretty little restaurant lifting immediately welcome warm cooking excellentbase breton product home service top warm atmosphere original breton cuisine rare taste quality irreproachable product single downside kitchen open cannot help take look endof service really nickel Restaurant
Les affranchis,4.5,30.0,Restaurant,"14 Av. Daumesnil, 75012 Paris 12",oldfashioned brasserie terrace offering typical seasonal fare happyhour special typical restaurant brasserie nice quality kitchen pleasant staff damage liège chocolate ice cream small greedy true yellowing price hoped otherwise good time work next saw chef changed effectit much better beautiful card beautiful product well excellent surprise family last monday service excellent rarely seen staff friendly helpful kitchen good tried menu day pork caramelized jy spent great eveningwith lambing friend warm dish delicious comforting team smiling recommend pleasant brasserie used family year since year dreaded change pleasant surprise everything better better Restaurant
L'Ébauchoir,4.7,,Bistro,"43-45 Rue de Cîteaux, 75012 Paris 12",creatively interpreted french dish long wine list unassuming bistro street table super placenpersonnel hyper nice eaten good pretty brasserie benefit large terrace calmenun card presage good n5 proposal starter 5 dish 5 dessert plate went eat superbbistrot little chance following recommendation colleague friend Bistro
Le 217 Brasserie Restaurant,4.7,30.0,Restaurant,"217 Av. Daumesnil, 75012 Paris 12",super nice restaurant well received served quickly delighted took velouté delicious vegetable la bruschetta incredible burrata burned cream miam mima real regal really perfect restaurant every way irreproachable service touchdhumour bos warm smiling kitchen good everything homemade addition steak tartare cut knife one address hold back thank good exceptional service owner nice available forsatisfying desire need attentive cordial customer flat sympanles good well executed correct price high value money bravo neighborhood restaurant Restaurant
Le Touareg,4.6,30.0,Algerian Restaurant,"228 Rue de Charenton, 75012 Paris 12",friend living next restaurant come say several time say couscous kitchen perfect fine semolina digestible vegetable well cooked bouillon fata delightful real culinary journey hesitate v disappointed excellent restaurant returned team lunanimity positive success rendezvous ambiance quality laccueil great success want make lunch dinnerthe advice give book second visit certainly last magnificent place heart paris desire couscous tagine different algerian entry addition delicious dish decoration music make travel excellent restaurantwith smiling team good care couscous excellent tagine super good gourmet tea top 11 everyone said good thing Algerian Restaurant
Chez Addy & Ida,4.6,30.0,Restaurant,"4 Rue Jaucourt, 75012 Paris 12",warm welcome hichis cook restaurant bobos real restaurant gourmet gourmet cook visibly country east 5050 menu french cuisine trend little jewin quiet street little passage possibility eat terrace family decor represents place midday meal quite generous quality made house small nice terrace pleasant service pleasant restaurant original dish warm welcome come backhearty well cooked dish original card everyone find account recommend eat property Restaurant
À la Biche au Bois,4.5,50.0,French restaurant,"45 Av. Ledru Rollin, 75012 Paris 12","typical french fare like terrine braised chicken turned relaxed setup good brewery offering original game dish overall card good well -worked product smiling pro service good time get traditional dish good kitchen little qualityprix service little long noisy cramped fish nestnot fresh enough taste hand main dish based meat good service impeccable ate companion evening restaurantnlaisse tell excellent restaurant quality dish really high thevalue money intrigued card, especially wild bird went twice small informal restaurant welcomingnlend small mirror covering whole wall make French restaurant"
CHARLETPERRIN,4.4,30.0,French restaurant,"17 Rue Michel Chasles, 75012 Paris 12","classic french dish like tartare duck breast offered casual brasserie sidewalk table really delighted evening restaurant birthday price correct advise without hesitation bib gourmet dessert lot little restaurant nla decoration beautiful setting interesting value money ny nothing torepeat whole beautiful, sympathetic personal place found price quite expensive compared quality dish correct without would try another dish review pleasure lunch charletperrin lexperience wasincredible went paris september 2023 apartment near charletperrin went least 5 time stay loved affordable price good food owner server French restaurant"
Cantine La Planque,4.4,30.0,Bistro,"6 Place Félix Eboué, 75012 Paris 12",super experience hideout warm friendly perfect evening friend family course dish delicious well presented real crush highly recommend ladress nice menu close isdone dynamic server broth bos smiling ordered dish day morteau puree sausage slice thin second time return canteen planquennon eats well night service fast andeffective love come hide regularly cousin ​​and laccueil aunt pleasant dhumour tip keep wonderful family memory dish day varied like dish card safe bet neighborhood everything ishomemade decoration cozy eat well rather well received careful card dish day number dish generous reasonable price test area Bistro
Le Berbère,4.6,30.0,North African restaurant,"62 Rue Crozatier, 75012 Paris 12",little disappointed beautiful setting lunch service nice found couscous without chicken merguez captivated establishment good opinion much better warm restaurant staff pleasant andvery nice restaurant serf generous portion price worth couscous well tagine delicious recommend dessert taken mint tea warm welcoming tasty kitchen visit myfather guest went often tasted almost magnificent dish delight huge thank restaurant le berbère warm welcome make u feel home first second dish aa real culinary trip combining authentic flavor impeccable presentation chance dine nephew niece restaurant service simply remarkable adorable attentive team quite rare paris couscous delicious real treat North African restaurant
La cantine diderot,4.4,20.0,Restaurant,"74 Bd Diderot, 75012 Paris 12",tested address sunday noon disappointed contrary fast service friendly chickenfrites chocolate mousse 1240 recommend restaurant good nice decoration nnle service fast especially price really good gooddishes soft price fry excellent great time pretty atmosphere come happy eat address like one Restaurant
Le Cotte Rôti,4.6,,French restaurant,"1 Rue de Cotte, 75012 Paris 12",creative classic tasting menu fine wine modern venue banquette communal table really flawless flaw super nice frame pleasant tasting menu delicious value money top top good advice wine recommend 100 restaurant two different occasion dinner tasting lunch menu flat starternles flat dessert deliciousexcellent dinner discovery incredible flavor service top surely come back French restaurant
Le Netter,4.3,30.0,Restaurant,"82 Cr de Vincennes, 75012 Paris 12",good welcome server welcoming smiling advised u well food quality dish great friend great time brasserie starter dish well homemade dessert good generousthe staff pleasant helpful one thing certain come back pleasure whether family friend good welcome good kitchen reasonable price fast service lunch terrace lounge come large number betterreserved nice discovery homemade kitchen good value money especially welcome caring service z felt team like job benevolent pleasure find people welcoming sympathetic came group commandbeen taken quickly everyone appreciated ate room butcher hamburger going Restaurant
Au Tramway,4.2,30.0,Brasserie,"253 Av. Daumesnil, 75012 Paris 12","good neighborhood address kitchen house fresh product good friendly efficient beautiful terrace lavery daumesnil note coast pig good accompanied calm atmosphere sauce midintrès good cuisine offer varied dish andquality polite top polite fast good brasserie close michel bizot metro outing 1 pleasant staff able eat 10 without reservation dish surrounding u spent pleasant moment entered drink able tempted boardmixed board enormous quality good local product like come back eat time lunch sometimes dinner tram, time disappointed dinner served duck breast potato potatomidi oven warmed creamy sauce hide misery dry Brasserie"
Com' à la maison,4.7,30.0,Brasserie,"51 Av. du Dr Arnold Netter, 75012 Paris 12",small restaurant run pleasant friendly staff tasted meat exceptional à la carte fry top real star duck assisting vegetable cooked duck fatty little restaurantunpretentious biennles boss nice bos friendly kitchen also correct kitchen small restaurant menu day reception service done bos top conversation overflow quickly neighboring table lot ofconviviality place duty privatized place birthday place really ideal kind design bos accommodating good choice beer pressure pressure Brasserie
Le Janissaire,4.5,40.0,Turkish restaurant,"22/24 All. Vivaldi, 75012 Paris 12",elegantly plated turkish cuisine served comfortable dining room expansive terrace family dinner location birthday discovery first visit janissaire pleasantly surprised quality dish flat starter service x2 thénen général order much worshiped duringmy first bite cinnamon milk rice 2nd time come return good memory flavor whole time change cook nugget cornervery residential excellent welcome service beautiful room traditional kitchen delicious warm attentive welcome fast efficient service high -end table linen choice dish varied dish well cooked reasonable price spent pleasantquiet evening thank Turkish restaurant
