name,rating,price,restaurant_type,description,address,google_maps_url
L'Aubergeade,4.8,€30–40,Restaurant,"Typical, cozy bistro focusing on traditional French dishes like steak tartare, plus seafood.","17 Rue Chaligny, 75012 Paris, France","https://www.google.fr/maps/place/L'Aubergeade/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720de79a84c1:0x7d91161ddaf778d9!8m2!3d48.8465653!4d2.3834896!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1thtnxmh?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
La Cantine de daumesnil - restaurant paris 12,4.3,€20–30,Restaurant,,"119 Rue de Reuilly, 75012 Paris, France","https://www.google.fr/maps/place/La+Cantine+de+daumesnil+-+restaurant+paris+12/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6726ea231f92d:0xfdaef9dd59e2628a!8m2!3d48.8412193!4d2.3942449!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1td2lt9t?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Picotin,4.5,€20–40,French restaurant,"Classic fare plated in a homey, relaxed setting with a charming wall mural & weekly live jazz.","35 Rue Sibuet, 75012 Paris, France","https://www.google.fr/maps/place/Le+Picotin/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672651e721cf3:0xf4ee10dd34e61164!8m2!3d48.8434703!4d2.4022776!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tj2b9vf?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
L'Alchimiste,4.7,€20–30,French restaurant,,"181 Rue de Charenton, 75012 Paris, France","https://www.google.fr/maps/place/L'Alchimiste/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e67212563d686f:0x3487581f9fbab0bd!8m2!3d48.8431827!4d2.3855205!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1v3gr6nf?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Ty Louis - Restaurant Breton Paris 12,4.8,€20–40,Restaurant,,"240 Rue du Faubourg Saint-Antoine, 75012 Paris, France","https://www.google.fr/maps/place/Ty+Louis+-+Restaurant+Breton+Paris+12/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672734626fe0b:0xd972596d84418084!8m2!3d48.8492139!4d2.3895622!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1pp2vk8zw?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Les affranchis,4.5,€20–30,Restaurant,"Old-fashioned brasserie with a terrace offering typical, seasonal fare & happy-hour specials.","14 Av. Daumesnil, 75012 Paris, France","https://www.google.fr/maps/place/Les+affranchis/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e673a1c0b3134d:0x98fc5ab4222de86b!8m2!3d48.8483803!4d2.3725889!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11h3r10f1v?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
L'Ébauchoir,4.7,$$,Bistro,Creatively interpreted French dishes & a long wine list at an unassuming bistro with street tables.,"43-45 Rue de Cîteaux, 75012 Paris, France","https://www.google.fr/maps/place/L'%C3%89bauchoir/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720ecfe1b5df:0xfc178888c45f61af!8m2!3d48.8498715!4d2.3811387!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQZiaXN0cm_gAQA!16s%2Fg%2F1vnnhq59?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le 217 Brasserie Restaurant,4.7,€20–30,Restaurant,,"217 Av. Daumesnil, 75012 Paris, France","https://www.google.fr/maps/place/Le+217+Brasserie+Restaurant/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672689e3e1c11:0xfcbc6045189b5ed8!8m2!3d48.8385093!4d2.3991269!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11g6bw84xp?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Touareg,4.6,€20–30,Algerian Restaurant,,"228 Rue de Charenton, 75012 Paris, France","https://www.google.fr/maps/place/Le+Touareg/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6726b51005c6f:0xc4cef4d64ed882e!8m2!3d48.8397925!4d2.3883199!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARNhbGdlcmlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F1v6wnmxk?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Chez Addy & Ida,4.6,€20–30,Restaurant,,"4 Rue Jaucourt, 75012 Paris, France","https://www.google.fr/maps/place/Chez+Addy+%26+Ida/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6735b12235d3b:0x98b38d01fdf9850a!8m2!3d48.8464843!4d2.3947077!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11gykqgtl6?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
À la Biche au Bois,4.5,€40–50,French restaurant,"Typical French fare like terrine & braised chicken, turned out in a relaxed setup.","45 Av. Ledru Rollin, 75012 Paris, France","https://www.google.fr/maps/place/%C3%80+la+Biche+au+Bois/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720379e9ab89:0x27608256db06b821!8m2!3d48.848029!4d2.371106!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tjyn0l3?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
CHARLETPERRIN,4.4,€20–30,French restaurant,Classic French dishes like tartare & duck breast offered in a casual brasserie with sidewalk tables.,"17 Rue Michel Chasles, 75012 Paris, France","https://www.google.fr/maps/place/CHARLETPERRIN/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e67204f73b757f:0x76e73ee40f33a63a!8m2!3d48.8477047!4d2.3736278!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tdp4b_2?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cantine La Planque,4.4,€20–30,Bistro,,"6 Place Félix Eboué, 75012 Paris, France","https://www.google.fr/maps/place/Cantine+La+Planque/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e67269254d0e47:0x8c446bd82d80eea!8m2!3d48.8391879!4d2.3956367!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQZiaXN0cm_gAQA!16s%2Fg%2F1tgkgl_5?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Berbère,4.6,€20–30,North African restaurant,,"62 Rue Crozatier, 75012 Paris, France","https://www.google.fr/maps/place/Le+Berb%C3%A8re/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720f3b57eb2d:0x9493d764b25d7877!8m2!3d48.8495211!4d2.3797112!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARhub3J0aF9hZnJpY2FuX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1thxvjsw?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
La cantine diderot,4.4,€10–20,Restaurant,,"74 Bd Diderot, 75012 Paris, France","https://www.google.fr/maps/place/La+cantine+diderot/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6731dc10870f3:0x7c448fa8c7712892!8m2!3d48.8466234!4d2.3821763!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11hmzs8kq4?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Cotte Rôti,4.6,$$,French restaurant,"Creative classics, a tasting menu & fine wines at a modern venue with banquettes & a communal table.","1 Rue de Cotte, 75012 Paris, France","https://www.google.fr/maps/place/Le+Cotte+R%C3%B4ti/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672059cc82f29:0x3d84a5c9c5c7150c!8m2!3d48.8481646!4d2.3766494!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1thl4r55?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Netter,4.3,€20–30,Restaurant,,"82 Cr de Vincennes, 75012 Paris, France","https://www.google.fr/maps/place/Le+Netter/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6727c8ed6aced:0x4a3f9f657d8ceee2!8m2!3d48.8470647!4d2.4064463!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1thcm2gr?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Au Tramway,4.2,€20–30,Brasserie,,"253 Av. Daumesnil, 75012 Paris, France","https://www.google.fr/maps/place/Au+Tramway/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e67266fe2b205b:0xe6196d809add965b!8m2!3d48.8374604!4d2.4020805!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARRyZXN0YXVyYW50X2JyYXNzZXJpZeABAA!16s%2Fg%2F1vfwc4tc?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
