id,text,title,rating,trip_type,location_id
987124639,"I actually came every single time I’ve been in Paris. Like my go to place in Le Marais. However, the last time one of the waiters asked for a tip which has never happened before. So tbh I won’t bother with the place anymore just because of that.",Asking for a tip,4,Solo travel,17227776
972571018,"My daughter and i came here for a late lunch on our last day in Paris.  It was just down from the Airbnb we were staying in and was conveniently located.  Lovely outside seating area so chose this, service was excellent as was the food","Relaxing Lunch, great spot !",5,Family,17227776
948361293,Had a chocolate mousse with a couple of drinks and watched the world go by. Very affordable prices food and drinks are delicious,Perfect cocktail spot,5,Couples,17227776
924882190,"Loved this resraurant and it's location, food was delicious, service was really nice, escargots perfect. We like to come back.",Delicious French food,5,Couples,17227776
903705071,We had drinks several days in a row. Friendly and efficient staff. Nice place in the heat as they spray water mist over you.,Nice place for drinks.,5,Family,17227776
942995860,"Dirty tables
Cold croissants with no
Option for heating
Tasteless coffee 
Indifferent personnel
4& for a small bottle of water",Pret a Manger Charles de Gaule aeroport To be avoided!!,1,Family,3727361
643662318,"My wife, daughter and I had a quick dinner here in November 2018.  I had a ham sandwich and an oatmeal cookie.  Avenue de France (13th arrondisement) is a revitalized area of Paris with many restaurants.  It is active during the evening.",Quick Dinner,4,Family,3727361
563786318,We have tryed every coffee shops of this area and this is absolutely the best. Even the food is not bad at all. ,Best organic coffee!,5,Family,3727361
555872417,"Great selection of soups, salads and sandwiches.  I have tried almost all of them and they are all very good.  They also offer hot small dishes as well and a great selection of desserts.  It's my go to  when I'm near one and it never disappoints.  Service is quick even with crazy lunch lines","Great for soups, salads and sandwiches",5,Family,3727361
464091681,"Their club sandwich is pretty nice. Their salads as well, even though  not as good as the sandwiches.",Nice for quick lunch,4,Friends getaway,3727361
922805723,"A relaxing place to watch street life, enjoy a drink, and sample meat and cheese platters (for example).","Relaxing Spt, Good Food, Good Service",5,Couples,1056772
859115070,A bit strange and gloomy atmosphere. Do not take children. The service is not the best and as typical French people almost refused to speak in English. Not to return!,Not to return!,1,NONE,1056772
838876577,"My wife ordered Rigatoni Milanaise and the veal was cardboard dry with no flavoring at all, just breaded and fried. My Sea Bass had a significant portion of gray and was very fishy with no seasoning. The white asparagus was tough and chewy. After stating this to the waiter he brought over his boss who didn’t seem to care at all. A waste of 75 Euros.",Google review was over 4 but after our lousy meal I looked up Tripadvisor and they had a 2.5 rating. I give it a one.,1,Couples,1056772
830176052,Standard bar but (for Paris) provides cheap beer. Found out after that this was the filming location for a scene with Gene Hackman in French Connection II. In movie the bar was called Bar Florida. ,Film location for French Connection II,3,Couples,1056772
810446117,"I went to this cafe because in my favourite movie French Connection II by John Frankenheimer, Gene Hackman bought himself boiled eggs, drinks for himself and the bar man and left drunk with the bar man. The waiter confirmed this was the location of the filming in the 1970's where it was Bar Florida. I always assumed this place was in Marseilles and not Paris as the rest of the movie was filmed in Marseilles. 

Had the Croissant and Cafe and it was quick, efficient and friendly service. Negative Covid result essential to be served.",This was Bar Florida where Gene Hackman got drunk in the movie French Connection II by John Frankenheimer,4,NONE,1056772
727707357,"Big Fernand used to be one of my favourite burgers in Paris, even though they were a bit more expensive than other luxury burger brands, the quality was there to justify it. It seems that's not true anymore.

We came here after the theatre and wanted to eat something nice, hot and fast. We got the fast but that's it.

Service was polite, and the staff were clearly having a ball but probably weren't concentrating very hard on getting the food right.

Our burgers - a big Fernand and a belphegor were overcooked (both the rare and the medium), the buns were cold and dense, the chips lacked flavour and were almost dry. For 15€ it was disappointing.

I don't see myself going back.",What happened? Quality has nose dived ,2,Couples,11673606
696871327,"We ordered online and had the Burgers delivered to our Hotel with Ubereats. 
It took not even 15 minutes.

This Burger Restaurant was recommended to us.

They have good quality french style burgers with special sauces seasonings and typical french cheeses.

You can choose between a big or a small menue.
Fries or salad as a side.

We had the fries and they tasted great although they were not really crispy any more.

The burgers tasted great - the buns could have been a little better.

All in all a good quality meat and good variety!",Fast & Fresh Delivery via UberEats,3,Couples,11673606
547253811,"As suggested by locals, one of the best burgers in town. 

Th place is small, cosy and not too manny seats available. But it is worth the wait. Even though i am not a big fan of burgers, i think that this is one of the best burgers I've eaten in a long time. My friends and I took the Bartholomeo and Fernands combo, which was deliciozeeee! Each combo was 15 EUR, which is a OK  value for Paris.

The staff was polite and very fast!

I highly recommend it.

PS. Try the fries (and the mustard)!",Le Burger!!,5,Friends getaway,11673606
543139074,"We accidentally ran into this burger place and gladly so... Tasty burgers, quick service and reasonable prices. Apart from the set menu, you have the option of ordering a customised burger so the choice is wide! Don't forget to try their french fries too - just delicious!",Quality fast food!,4,Friends getaway,11673606
524393814,"On a busy bus we chatted to a local friendly young man out with wife and two young children with scooters.  He pointed out a couple of restaurants and as we went past Big Fernand he said 'that's a really good burger bar'.  We were entertained that it was almost hidden away beside Burger KIng!  We vowed to go back. It was worth it!  Excellent, cooked for us, burger with bacon and cheese.  I said no chips so was offered salad instead.  They serve beer, it goes well with burgers.",Go here even if like me you are not a burger fan.  They're good!  Recommended by man on the bus!,5,Friends getaway,11673606
561090206,"Found this place the second night of our week vacation. Liked it so much we went back two more times. The pizzas are great , we saw 10 or 15 pizzas picked up during our dinner. The pasta is full of flavor and hot. ",Great dinner,5,Friends getaway,5799949
500842200,"A small place a bit off the main tourist attraction but the food is great (Italian Chef inside!), the wine is tasty and prices are very reasonable. There are some tables outside which is a real plus for the hot summer nights",Tasty pizza,5,Couples,5799949
269546223,"Walked by in this street by accident (not much around there. Lol)
My girlfriend being Sardinian saw the place, and we walked up to it. 
Pizzas in Paris are way overpriced (15-20€), but those are €10. So we decided to see how it was. 
The owner is Sard, and there are Sardinian products on the menu. 
For €23, we got treated to 2 spritz, 2 delicious pizzas, 2 coffees and 2 mirto (Sardinian digestive). 
I would highly recommend this place! We, for sure, will go back and bring friends and family. 
It's a basic place, cozy but not luxurious. Don't be expecting a candlelight dinner with opera music, but you'll be sure to have a very good meal made with fresh products.","Good pizza, good price",5,,5799949
987210676,"We visited here at the end of December. Its a very big standard chain restaurant, which was to be expected. We ordered a steak and half chicken. The chicken was stone cold, clearly just out of the fridge, and incredibly dry. This was raised to the staff, who took it away and heated it but on returning the dish they took away the chicken wing was missing and clearly taken off the plate. The steak was fine, nothing special and drowning in sauce.",Very standard and cold,2,Couples,1638417
973048889,"Great Place - Service - Warm and friendly, Food consistently great and a reasonable price for this quality.
I was there with my colleges during the Olympics. the team finished usually after 9.30PM after a long day. Because of the great food and quick service we ended up eating there over 8 times out of the 11 days we were there.
The team tested most of the menu over that period and consistently loved what they had so not able to point to any particular dish other than the shared starters which we always had.
Great location near the metro and the surrounding hotels.",Great food & service well worth a visit,5,Business,1638417
920849281,"We had a great time here. Suzie our waitress did an excellent job. She was very friendly, efficient and could deal with some extras we added. Great job! We can really recommend this restaurant.",Great service- great for families ,5,Family,1638417
885942793,"A lovely restaurant. Great staff, very helpful. We managed with our little French, and our waitress’s little English (although she did get help when we couldn’t understand her asking how we wanted our steaks cooked!). Speedy service, with a smile. Lovely surroundings, large but not too busy for the time we went. Food was lovely, plenty of it and well cooked. Would recommend. We stayed at the Campanile Hotel, 5 minutes away. ","Lovely food, great service. Near Campanile Hotel. ",5,NONE,1638417
863754092,"Although there is a lot of competition in and around this restaurant i chose it. Although the menu was in french you could scan an english version. The food was nice and tasty,the staff were attentive.",Good food,4,Solo travel,1638417
928167145,"Best argentinian experience in paris you can find
Very friendly staff, fast order and excellent food. Try the desserts !",Vest argentinian food,5,Solo travel,12820500
976617729,Good range of craft beer options and a nice atmosphere. Big screens to watch football if you’re that way inclined. Nice friendly staff.,Great place for craft beer,5,Family,1392663
963491554,"Good selection of well kept craft beer - Pollys, Pomona Island, Vault City were all on when we visited - great to sit and people watch! 

Friendly / helpful bar staff too.",Great selection of craft beer,5,Couples,1392663
947885646,Terrible experience here. Really grim. Thought it was an Irish bar but it's not. It's just an awful bar. Bar lady was rude and after we got our drinks she proceeded to have a phone call on loud speaker which seemed like an argument. I met flies on the way to the toilet ..place seemed dead. Will never return or recommend,Don't bother,1,Couples,1392663
